DATA_SIZE;THREAD_NR;C_TIME;ASM_TIME;BASM_TIME
653376;1;2;13;1
653376;2;3;8;4
653376;4;4;9;4
653376;8;8;25;8
653376;16;11;13;11
653376;32;20;25;21
653376;64;38;56;38
653376;128;81;81;83
1294944;1;5;22;4
1294944;2;3;12;2
1294944;4;4;9;2
1294944;8;6;11;5
1294944;16;11;17;11
1294944;32;21;27;20
1294944;64;42;45;40
1294944;128;76;85;87
946940;1;3;16;1
946940;2;2;9;1
946940;4;3;7;2
946940;8;6;14;5
946940;16;11;15;14
946940;32;20;26;21
946940;64;42;51;39
946940;128;83;90;92
2764800;1;8;47;3
2764800;2;5;24;2
2764800;4;5;18;3
2764800;8;7;18;10
2764800;16;12;22;10
2764800;32;21;33;27
2764800;64;42;51;42
2764800;128;82;92;90
26205180;1;66;410;23
26205180;2;35;216;12
26205180;4;20;121;8
26205180;8;25;127;12
26205180;16;31;130;18
26205180;32;40;139;27
26205180;64;60;160;47
26205180;128;102;198;89
